product_id,product_name,description,product_price,product_type_id,start_date,end_date,current_flag
1,Lenovo Laptop,Lenovo Laptop with Intel i5,737.34,1,2025-07-21,,True
2,HP Laptop,HP Laptop with Intel i7,1437.31,1,2025-07-21,,True
3,Samsung Television,Samsung Television with QLED,1823.13,3,2025-07-21,,True
4,Lenovo Laptop,Lenovo Laptop with AMD Ryzen 5,1149.21,1,2025-07-21,,True
5,Samsung Television,Samsung Television with QLED,1987.76,3,2025-07-21,,True
6,Dell Laptop,Dell Laptop with AMD Ryzen 5,811.53,1,2025-07-21,,True
7,Lenovo Laptop,Lenovo Laptop with Intel i7,931.32,1,2025-07-21,,True
8,HP Laptop,HP Laptop with Intel i7,1749.65,1,2025-07-21,,True
9,Samsung Smartphone,Samsung Smartphone with A16 Bionic,1678.96,2,2025-07-21,,True
10,OnePlus Smartphone,OnePlus Smartphone with A16 Bionic,1792.33,2,2025-07-21,,True
11,OnePlus Smartphone,OnePlus Smartphone with A16 Bionic,1012.29,2,2025-07-21,,True
12,Samsung Smartphone,Samsung Smartphone with Snapdragon 8 Gen 2,347.78,2,2025-07-21,,True
13,Samsung Smartphone,Samsung Smartphone with Snapdragon 8 Gen 2,453.62,2,2025-07-21,,True
14,Dell Laptop,Dell Laptop with Intel i5,1170.38,1,2025-07-21,,True
15,Dell Laptop,Dell Laptop with Intel i7,902.26,1,2025-07-21,,True
16,Samsung Television,Samsung Television with QLED,1818.72,3,2025-07-21,,True
17,LG Television,LG Television with OLED,1965.85,3,2025-07-21,,True
18,Dell Laptop,Dell Laptop with Intel i7,951.63,1,2025-07-21,,True
19,HP Laptop,HP Laptop with Intel i7,1550.87,1,2025-07-21,,True
20,Apple Smartphone,Apple Smartphone with Snapdragon 8 Gen 2,1698.52,2,2025-07-21,,True
21,Apple Smartphone,Apple Smartphone with Snapdragon 8 Gen 2,765.65,2,2025-07-21,,True
22,Lenovo Laptop,Lenovo Laptop with AMD Ryzen 5,1461.22,1,2025-07-21,,True
23,Dell Laptop,Dell Laptop with AMD Ryzen 5,1984.28,1,2025-07-21,,True
24,HP Laptop,HP Laptop with Intel i5,1986.67,1,2025-07-21,,True
25,HP Laptop,HP Laptop with AMD Ryzen 5,974.53,1,2025-07-21,,True
26,OnePlus Smartphone,OnePlus Smartphone with Snapdragon 8 Gen 2,1225.43,2,2025-07-21,,True
27,Sony Television,Sony Television with OLED,1920.42,3,2025-07-21,,True
