sales_detail_id,transaction_id,product_id,quantity,price
1,758,141,40,313.77
2,493,107,31,300.77
3,673,26,21,164.77
4,857,171,96,365.52
5,829,90,16,364.08
6,302,192,74,155.24
7,1000,23,30,376.55
8,69,61,29,445.78
9,159,30,10,90.44
10,963,59,79,474.47
11,624,11,5,304.52
12,300,33,35,387.27
13,538,186,58,180.87
14,195,20,39,386.0
15,242,43,98,153.16
16,329,157,57,6.21
17,948,11,72,326.07
18,425,23,67,209.52
19,269,10,51,6.32
20,558,14,26,14.25
21,997,36,18,493.29
22,383,63,26,332.8
23,509,23,6,59.85
24,37,113,38,17.91
25,140,161,49,301.92
26,928,60,10,388.55
27,127,8,37,112.16
28,844,72,98,6.85
29,544,190,12,249.76
30,184,128,60,273.93
31,863,187,77,88.72
32,183,111,74,71.69
33,290,179,31,494.87
34,254,16,32,439.1
35,496,80,50,175.42
36,114,49,40,482.19
37,98,13,36,155.89
38,555,44,73,438.1
39,755,2,35,281.06
40,129,91,85,202.07
41,107,163,84,399.01
42,102,56,93,162.42
43,382,138,81,55.67
44,562,48,66,460.01
45,496,80,86,297.07
46,470,139,88,414.58
47,294,168,93,151.39
48,831,158,93,307.31
49,114,26,98,311.13
50,434,16,9,338.7
51,298,27,69,61.7
52,186,126,89,131.82
53,238,76,86,272.16
54,200,13,56,206.39
55,731,77,24,206.92
56,921,41,87,450.16
57,602,63,56,254.97
58,769,94,70,175.45
59,510,82,24,232.39
60,171,104,94,433.47
61,963,41,91,307.56
62,27,126,100,79.8
63,752,165,32,141.41
64,376,53,31,216.59
65,940,189,38,53.28
66,879,99,58,234.86
67,911,93,38,400.06
68,551,129,69,350.74
69,104,52,21,341.75
70,669,95,77,357.36
71,322,150,45,294.1
72,269,30,10,100.39
73,9,66,40,413.15
74,641,49,75,212.45
75,767,156,81,179.83
76,967,69,38,228.35
77,791,75,73,25.96
78,10,162,6,73.3
79,824,178,94,465.35
80,20,135,50,325.57
81,30,96,87,167.47
82,362,74,6,202.75
83,568,37,71,114.78
84,191,69,32,488.96
85,87,180,60,106.67
86,862,155,97,108.83
87,800,72,49,54.54
88,440,96,76,330.74
89,749,148,74,27.52
90,736,42,31,34.71
91,378,161,27,371.93
92,237,7,85,71.41
93,848,98,65,22.56
94,184,194,80,177.05
95,505,58,97,436.51
96,676,107,4,303.56
97,506,176,15,202.62
98,24,130,31,443.5
99,465,198,98,102.81
100,860,30,97,435.28
101,324,28,26,52.96
102,872,187,74,371.91
103,577,14,32,489.78
104,121,43,23,424.42
105,892,85,31,325.5
106,503,89,75,137.21
107,864,153,64,461.06
108,32,56,29,28.99
109,937,109,90,24.18
110,142,7,91,188.78
111,21,136,38,438.49
112,968,95,66,218.65
113,37,21,58,467.12
114,336,57,96,423.86
115,893,191,90,470.58
116,334,178,14,25.07
117,193,67,88,472.13
118,245,139,19,53.49
119,341,174,58,390.96
120,684,11,86,274.36
121,107,10,63,62.15
122,724,67,19,87.24
123,730,101,79,112.8
124,791,102,6,335.63
125,666,84,35,356.01
126,380,166,2,83.27
127,129,55,16,98.58
128,511,139,96,199.54
129,840,29,66,109.62
130,77,54,31,99.45
131,951,159,14,283.16
132,323,197,27,473.82
133,207,135,8,210.07
134,525,51,5,120.52
135,24,153,42,403.47
136,569,141,80,242.65
137,304,156,50,67.56
138,989,189,49,152.07
139,376,40,75,421.42
140,631,26,38,496.26
141,650,58,78,386.36
142,189,165,77,405.84
143,477,139,66,310.24
144,587,94,55,392.56
145,95,108,65,354.0
146,540,147,71,93.64
147,594,158,17,43.13
148,615,12,98,499.26
149,164,144,55,271.37
150,823,96,82,286.85
151,828,143,32,9.12
152,431,198,52,392.79
153,290,127,88,354.23
154,741,77,74,494.27
155,606,156,49,22.01
156,647,145,3,371.75
157,140,54,91,216.49
158,843,107,20,440.16
159,115,200,100,409.98
160,15,54,21,251.72
161,714,45,94,178.46
162,29,164,99,408.6
163,926,151,2,52.22
164,577,123,34,379.81
165,593,149,66,446.91
166,857,28,53,24.23
167,531,12,20,126.06
