transaction_id,transaction_date,product_id,customer_id,staff_id,sales_outlet_id,quantity,price,total_amount
1,2024-09-19,103,466,76,7,58,282.32,282.32
1,2024-09-19,184,466,76,7,2,56.41,56.41
1,2024-09-19,21,466,76,7,75,336.36,336.36
1,2024-09-19,69,466,76,7,28,121.12,121.12
2,2024-08-28,143,283,36,44,26,95.29,95.29
2,2024-08-28,178,283,36,44,33,301.79,301.79
2,2024-08-28,95,283,36,44,41,209.18,209.18
3,2024-03-15,109,283,169,26,18,158.0,158.0
3,2024-03-15,130,283,169,26,50,193.71,193.71
3,2024-03-15,181,283,169,26,45,305.81,305.81
3,2024-03-15,2,283,169,26,42,26.23,26.23
3,2024-03-15,36,283,169,26,47,456.93,456.93
3,2024-03-15,47,283,169,26,32,31.11,31.11
3,2024-03-15,60,283,169,26,29,58.15,58.15
3,2024-03-15,74,283,169,26,16,149.78,149.78
3,2024-03-15,80,283,169,26,6,435.3,435.3
3,2024-03-15,99,283,169,26,60,82.69,82.69
5,2024-03-09,191,124,142,4,40,288.03,288.03
5,2024-03-09,28,124,142,4,38,132.17,132.17
5,2024-03-09,91,124,142,4,21,138.12,138.12
6,2024-01-16,127,972,120,1,4,76.94,76.94
6,2024-01-16,175,972,120,1,41,327.61,327.61
6,2024-01-16,33,972,120,1,48,417.52,417.52
6,2024-01-16,57,972,120,1,19,477.04,477.04
6,2024-01-16,99,972,120,1,56,318.73,318.73
7,2024-06-01,194,291,153,38,49,208.73,208.73
7,2024-06-01,55,291,153,38,23,455.28,455.28
8,2024-01-12,167,894,18,12,8,200.35,200.35
8,2024-01-12,17,894,18,12,65,208.11,208.11
8,2024-01-12,174,894,18,12,69,393.81,393.81
8,2024-01-12,37,894,18,12,90,405.59,405.59
8,2024-01-12,84,894,18,12,38,463.68,463.68
9,2024-03-28,1,898,133,35,44,293.76,293.76
9,2024-03-28,166,898,133,35,43,247.53,247.53
9,2024-03-28,2,898,133,35,37,187.56,187.56
9,2024-03-28,26,898,133,35,17,97.22,97.22
9,2024-03-28,66,898,133,35,40,413.15,413.15
9,2024-03-28,77,898,133,35,93,51.69,51.69
9,2024-03-28,92,898,133,35,63,113.45,113.45
10,2024-04-09,108,86,55,30,78,48.1,48.1
10,2024-04-09,123,86,55,30,17,483.87,483.87
10,2024-04-09,162,86,55,30,6,73.3,73.3
10,2024-04-09,19,86,55,30,58,103.64,103.64
10,2024-04-09,32,86,55,30,2,435.63,435.63
10,2024-04-09,69,86,55,30,15,82.08,82.08
11,2024-03-01,100,598,21,5,47,317.05,317.05
11,2024-03-01,12,598,21,5,33,267.68,267.68
11,2024-03-01,132,598,21,5,2,160.81,160.81
11,2024-03-01,175,598,21,5,65,470.27,470.27
11,2024-03-01,19,598,21,5,28,123.63,123.63
11,2024-03-01,29,598,21,5,3,135.27,135.27
12,2023-01-01,179,625,19,49,94,153.21,153.21
12,2023-01-01,181,625,19,49,78,280.73,280.73
12,2023-01-01,44,625,19,49,97,361.37,361.37
12,2023-01-01,46,625,19,49,89,156.83,156.83
12,2023-01-01,48,625,19,49,16,250.91,250.91
12,2023-01-01,82,625,19,49,96,81.36,81.36
12,2023-01-01,90,625,19,49,42,65.84,65.84
13,2024-04-22,120,685,116,33,69,215.55,215.55
13,2024-04-22,142,685,116,33,58,480.04,480.04
13,2024-04-22,15,685,116,33,58,314.81,314.81
13,2024-04-22,31,685,116,33,82,179.25,179.25
13,2024-04-22,57,685,116,33,77,304.98,304.98
13,2024-04-22,75,685,116,33,90,400.72,400.72
13,2024-04-22,87,685,116,33,34,178.55,178.55
14,2024-03-14,138,911,90,19,80,237.18,237.18
14,2024-03-14,22,911,90,19,2,64.99,64.99
15,2024-11-15,125,355,99,16,5,152.46,152.46
15,2024-11-15,158,355,99,16,96,284.48,284.48
15,2024-11-15,189,355,99,16,38,468.89,468.89
15,2024-11-15,54,355,99,16,21,251.72,251.72
15,2024-11-15,70,355,99,16,24,307.29,307.29
15,2024-11-15,87,355,99,16,92,287.56,287.56
16,2024-01-29,11,612,34,3,54,292.81,292.81
16,2024-01-29,125,612,34,3,41,250.09,250.09
16,2024-01-29,165,612,34,3,17,33.04,33.04
16,2024-01-29,183,612,34,3,71,174.42,174.42
17,2023-03-21,121,252,86,11,44,40.06,40.06
17,2023-03-21,88,252,86,11,93,103.4,103.4
18,2024-01-30,14,501,76,36,87,330.29,330.29
18,2024-01-30,184,501,76,36,29,207.56,207.56
18,2024-01-30,68,501,76,36,41,341.27,341.27
18,2024-01-30,90,501,76,36,96,321.85,321.85
19,2023-04-18,123,467,94,5,65,121.0,121.0
19,2023-04-18,19,467,94,5,12,387.18,387.18
19,2023-04-18,36,467,94,5,55,333.89,333.89
19,2023-04-18,43,467,94,5,76,378.87,378.87
20,2023-01-14,135,558,168,45,50,325.57,325.57
20,2023-01-14,155,558,168,45,71,186.64,186.64
20,2023-01-14,160,558,168,45,12,184.06,184.06
20,2023-01-14,174,558,168,45,86,59.7,59.7
20,2023-01-14,20,558,168,45,51,229.59,229.59
20,2023-01-14,48,558,168,45,6,300.2,300.2
20,2023-01-14,66,558,168,45,57,75.25,75.25
21,2023-07-05,136,295,169,19,38,438.49,438.49
21,2023-07-05,140,295,169,19,81,287.42,287.42
21,2023-07-05,188,295,169,19,82,326.23,326.23
